Title,Land Size,Location,Total Price,Monthly Payment
Room For Rent In Malabe,"Beds-1, Baths-1",,,"18,000"
Annex For Rent In Boralesgamuwa,"Beds-1, Baths-1",,,"35,000"
Land For Sale In Kuliyapitiya,1.5 Acres,,"11,000,000","156,291"
Building For Rent In Ambalangoda,6100sqft,,"30,000",
Land For Sale In Kadawatha,10 Perches,,"8,500,000","120,771"
House For Sale In Maharagama,"Beds-3, Baths-2 Size-sqft",,"59,500,000","845,394"
House For Rent In Kadawatha,"Beds-2, Baths-1 Size-900sqft",,,"22,000"
House For Rent In Katugastota,"Beds-3, Baths-2 Size-1800sqft",,,"40,000"
Land For Sale In Anuradhapura,728 Perches,,"582,400,000","8,274,912"
House For Sale In Mahabage,"Beds-4, Baths-3 Size-2800sqft",,"22,000,000","312,583"
Hotel For Rent In Tissamaharama,6500sqft,,,"200,000"
Commercial Building For Sale In Kadugannawa,2400sqft,,"21,000,000","298,374"
House For Sale In Kurunegala,"Beds-5, Baths-4 Size-2500sqft",,"21,500,000","305,478"
House For Sale Wattala,"Beds-6, Baths-2 Size-3300sqft",,"25,000,000","355,207"
Land For Sale In Homagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Godagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Watareka,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Meegoda,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Kirindiwela,10 Perches,,"2,750,000","39,073"
Land For Sale In Homagama,6 Perches,,"4,500,000","63,937"
House For Rent In Kadawatha,"Beds-2, Baths-1 Size-1500sqft",,,"49,000"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Room For Rent In Talawatugoda,"Beds-1, Baths-1",,,"12,000"
Land For Sale In Horana,10 Perches,,"3,250,000","46,177"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
Land For Sale In Bandaragama,60 Perches,,"13,500,000","191,812"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
Apartment For Rent In Colombo 07,"Beds-4, Baths-4 Size-2280sqft",,,"490,000"
Room For Rent In Colombo 05,"Beds-2, Baths-2",,,"9,000"
Land For Sale In Kadawatha,18 Perches,,"10,800,000","153,450"
Land For Sale In Minuwangoda,12 Perches,,"6,000,000","85,250"
House For Sale In Kirillawala,"Beds-3, Baths-2 Size-1500sqft",,"16,500,000","234,437"
Annexe For Rent In Minuwangoda,"Beds-1, Baths-1",,,"15,000"
Shop For Sale In Beligamuwa,sqft,,"7,000,000","99,458"
House For Sale In Panadura,"Beds-2, Baths-1 Size-2000sqft",,"19,500,000","277,062"
House For Rent In Mawanella,"Beds-2, Baths-1 Size-2800sqft",,,
Land For Sale In Wellawaya,240 Perches,,"5,000,000","71,041"
House For Sale In Neluwa,"Beds-3, Baths-1 Size-8984sqft",,"20,000,000","284,166"
Land For Sale In Panadura,12 Perches,,"21,900,000","311,162"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-1 Size-1071sqft",,"9,000,000","127,875"
House For Sale In Weligama,"Beds-5, Baths-2 Size-sqft",,"21,000,000","298,374"
House For Rent In Kiribathgoda,"Beds-1, Baths-1 Size-350sqft",,,"20,000"
House For Rent In Hokandara,"Beds-3, Baths-3 Size-1750sqft",,,"55,000"
House For Rent In Udugampola,"Beds-2, Baths-1 Size-950sqft",,,"34,000"
House For Rent In Ragama,"Beds-2, Baths-2 Size-2500sqft",,,"35,000"
Land For Sale In Nuwara Eliya,15 Perches,,"6,800,000","96,616"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
House For Sale In Alawwa,"Beds-4, Baths-1 Size-1250sqft",,,
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-4356sqft",,"41,000,000","582,540"
Land For Sale In Weliveriya,20 Perches,,"3,800,000","53,992"
House For Sale In Pokunuwita,"Beds-1, Baths-1 Size-2000sqft",,"25,000,000","355,207"
Land With House For Sale In Kiribathgoda,67 Perches,,"21,775,000","309,386"
Land For Sale In Matara,10.5 Perches,,"4,725,000","67,134"
Annex For Rent In Kottawa,"Beds-1, Baths-1",,,"60,000"
House For Sale In Ambalantota,"Beds-5, Baths-1 Size-2000sqft",,,
House For Sale In Padukka,"Beds-3, Baths-1 Size-1280sqft",,"14,600,000","207,441"
Room For Rent In Nugegoda,"Beds-1, Baths-1",,,"13,000"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-20sqft",,"28,000,000","397,832"
Land For Sale In Athurugiriya,6 Perches,,"4,200,000","59,675"
Land For Sale In Kahathuduwa,48 Perches,,"21,600,000","306,899"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-2900sqft",,"29,000,000","412,041"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-2123sqft",,"29,000,000","412,041"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-3430sqft",,"23,500,000","333,895"
House For Rent In Makola,"Beds-2, Baths-1 Size-1200sqft",,,"45,000"
Land For Sale In Colombo 08,11 Perches,,"63,800,000","906,489"
House For Rent In Kesbewa,"Beds-4, Baths-1 Size-2000sqft",,,"43,000"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
House For Sale In Veyangoda,"Beds-4, Baths-3 Size-1992sqft",,"24,500,000","348,103"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-2123sqft",,"29,000,000","412,041"
Land For Sale In Avissawella,10 Perches,,"3,000,000","42,625"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-2500sqft",,"35,000,000","497,290"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-2500sqft",,"35,000,000","497,290"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
House For Sale In Ratmalana,"Beds-9, Baths-6 Size-6500sqft",,"120,000,000","1,704,996"
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-4356sqft",,"41,000,000","582,540"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Kandy,160 Perches,,"15,840,000","225,059"
Land For Sale In Haragama,160 Perches,,"15,840,000","225,059"
Land For Sale In Beruwala,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Dharga Town,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Peradeniya,"Beds-6, Baths-3 Size-2500sqft",,,
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
Land For Sale In Homagama,10 Perches,,"3,500,000","49,729"
Office For Sale In Kotte,1538sqft,,"75,000,000","1,065,622"
House For Sale In Kaduwela,"Beds-3, Baths-1 Size-1400sqft",,"27,000,000","383,624"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-2000sqft",,"28,000,000","397,832"
House For Sale In Kottawa,"Beds-2, Baths-1 Size-2994.75sqft",,"15,000,000","213,124"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Kottawa,6.2 Perches,,"6,510,000","92,496"
House For Sale In Gampaha,"Beds-4, Baths-2 Size-2000sqft",,"2,240,000","31,827"
House For Sale In Ja-Ela,"Beds-3, Baths-2 Size-2000sqft",,"10,500,000","149,187"
House For Sale In Minuwangoda,"Beds-1, Baths-1 Size-sqft",,"1,640,000","23,302"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1000sqft",,"2,600,000","36,942"
Land For Sale In Homagama,7.5 Perches,,,
Land For Sale In Matara,12 Perches,,,
House For Sale In Kiribathgoda,"Beds-5, Baths-2 Size-3000sqft",,"29,000,000","412,041"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Ethul Kotte,10 Perches,,,
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-2500sqft",,"28,000,000","397,832"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
