Title,Land Size,Location,Total Price,Monthly Payment
Land For Sale In Kaleliya,10 Perches,,"6,500,000","92,354"
Land For Sale In Makola,11 Perches,,"10,175,000","144,569"
House For Sale In Imbulgoda,"Beds-3, Baths-2 Size-sqft",,"13,500,000","191,812"
House For Sale In Gampaha,"Beds-5, Baths-2 Size-sqft",,"21,500,000","305,478"
Land For Sale In Rotumba,40 Perches,,"1,500,000","21,312"
House For Sale In Anuradhapura,"Beds-1, Baths-2 Size-2800sqft",,,
Land For Sale In Boyagane,25 Perches,,,
Land For Sale In Nawala,17 Perches,,"125,800,000","1,787,404"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Avissawella,20 Perches,,"5,100,000","72,462"
House For Sale In Negombo,"Beds-5, Baths-3 Size-3850sqft",,"69,500,000","987,477"
House For Sale In Negombo,"Beds-5, Baths-3 Size-3450sqft",,"45,000,000","639,373"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Sale In Mirigama,"Beds-3, Baths-2 Size-2200sqft",,"50,000,000","710,415"
Land For Sale In Pugoda,40 Perches,,"4,000,000","56,833"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-2314sqft",,"34,000,000","483,082"
House For Sale In Tennekumbura,"Beds-2, Baths-1 Size-1850sqft",,"16,000,000","227,333"
House For Sale In Ratnapura,"Beds-2, Baths-1 Size-1500sqft",,,
Building For Sale In Horana,2000sqft,,,
Land For Sale In Bandaragama,12.5 Perches,,"3,500,000","49,729"
House For Sale In Horana,"Beds-3, Baths-1 Size-2000sqft",,,
Land For Sale In Makola,11 Perches,,"10,175,000","144,569"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-2314sqft",,"34,000,000","483,082"
Land For Sale In Panadura,11 Perches,,"8,000,000","113,666"
Land For Sale In Pokunuwita,6 Perches,,"4,200,000","59,675"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Battaramulla,"Beds-4, Baths-3 Size-1900sqft",,"47,500,000","674,894"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
House For Sale In Kaduwela,"Beds-3, Baths-1 Size-1400sqft",,,
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
House For Sale In Athurugiriya,"Beds-4, Baths-3 Size-3300sqft",,"55,000,000","781,456"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House With Pool For Sale In Malabe,"Beds-5, Baths-6 Size-4714sqft",,"32,000,000","454,665"
House For Sale In Beruwala,"Beds-2, Baths-1 Size-sqft",,"17,000,000","241,541"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-2500sqft",,"22,500,000","319,687"
House For Rent In Piliyandala,"Beds-3, Baths-2 Size-1850sqft",,,"50,000"
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Galle,10.8 Perches,,"25,000,000","355,207"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Biyagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1200sqft",,"18,500,000","262,853"
House For Sale In Athurugiriya,"Beds-4, Baths-2 Size-2300sqft",,,
House For Sale In Malabe,"Beds-4, Baths-2 Size-3250sqft",,"39,500,000","561,228"
House For Sale In Kaduwela,"Beds-3, Baths-2 Size-1300sqft",,"21,000,000","298,374"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Room For Rent In Colombo 15,"Beds-1, Baths-1",,,"8,500"
Land With House For Sale In Akmeemana,15 Perches,,"12,500,000","177,604"
House For Sale In Nugegoda,"Beds-4, Baths-4 Size-7875sqft",,"100,000,000","1,420,830"
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1200sqft",,,
House For Rent In Ragama,"Beds-2, Baths-1 Size-sqft",,,"35,000"
House For Sale In Ja-Ela,"Beds-3, Baths-2 Size-sqft",,"10,500,000",
House For Sale In Kottawa,"Beds-5, Baths-3 Size-4200sqft",,"36,000,000","511,499"
House For Sale In Piliyandala,"Beds-5, Baths-6 Size-4700sqft",,"69,500,000","987,477"
House For Sale In Battaramulla,"Beds-3, Baths-3 Size-2800sqft",,"55,000,000","781,456"
Land For Sale In Horana,30 Perches,,"7,500,000","106,562"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1350sqft",,"21,500,000","305,478"
House For Sale In Athurugiriya,"Beds-4, Baths-3 Size-4200sqft",,"27,900,000","396,411"
Hotel For Sale In Negombo,7787sqft,,"70,000,000","994,581"
Land For Sale In Malabe,6.4 Perches,,"75,000,000","1,065,622"
House For Rent In Battaramulla,"Beds-2, Baths-1 Size-1000sqft",,,"70,000"
Land For Sale In Kottawa,20 Perches,,"23,000,000","326,791"
House For Sale In Kaduwela,"Beds-3, Baths-2 Size-1300sqft",,"21,000,000","298,374"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1350sqft",,"21,500,000","305,478"
House For Sale In Athurugiriya,"Beds-4, Baths-2 Size-2500sqft",,"39,000,000","554,124"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1350sqft",,"24,500,000","348,103"
House For Sale In Minuwangoda,"Beds-3, Baths-1 Size-1800sqft",,"8,500,000","120,771"
Land For Sale In Padukka,30 Perches,,"12,750,000","181,156"
House For Sale In Battaramulla,"Beds-3, Baths-3 Size-3200sqft",,"32,000,000","454,665"
House For Sale In Piliyandala,"Beds-3, Baths-3 Size-1550sqft",,"24,000,000","340,999"
Annex For Rent In Kotte,"Beds-1, Baths-1",,,"30,000"
House For Sale In Wattala,"Beds-2, Baths-2 Size-900sqft",,"28,000,000","397,832"
Land For Sale In Moratuwa,8 Perches,,"7,600,000","107,983"
House For Sale In Mount Lavinia,"Beds-7, Baths-7 Size-3000sqft",,,
Land For Sale In Athurugiriya,20 Perches,,"15,000,000","213,124"
House For Sale In Panadura,"Beds-4, Baths-3 Size-2300sqft",,"44,500,000","632,269"
House For Sale In Attanakadawala,"Beds-4, Baths-1 Size-1500sqft",,"3,600,000","51,150"
Room For Rent In Godagama,"Beds-5, Baths-5",,,"15,000"
House For Sale In Meegoda,"Beds-2, Baths-1 Size-1000sqft",,"9,000,000","127,875"
Land For Sale In Ragama,627 Perches,,,
House For Sale In Karapitiya,"Beds-3, Baths-3 Size-1500sqft",,"22,000,000","312,583"
House For Sale In Uggalboda,"Beds-3, Baths-1 Size-1500sqft",,"6,500,000","92,354"
House For Sale In Ukuwela,"Beds-1, Baths-1 Size-1500sqft",,"2,200,000",
Land For Sale In Lngiriya,1 Acres,,"1,800,000","25,575"
Land For Sale In Horana,32 Perches,,"6,000,000","85,250"
Building For Rent In Akarawita,70000sqft,,,
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
House For Sale In Athurugiriya,"Beds-4, Baths-2 Size-2500sqft",,"39,000,000","554,124"
Land For Sale In Piliyandala,24 Perches,,"9,360,000","132,990"
Commercial Bare Land For Sale In Colombo 07,15 Perches,,"255,000,000","3,623,115"
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
House For Sale In Kesbewa,"Beds-2, Baths-3 Size-3800sqft",,"27,500,000","390,728"
House For Sale In Jayanthipura,"Beds-3, Baths-2 Size-2000sqft",,"6,500,000","92,354"
House For Sale In Torayaya,"Beds-3, Baths-1 Size-1925sqft",,"4,800,000","68,200"
House For Sale In Kurunegala,"Beds-4, Baths-2 Size-sqft",,"24,000,000","340,999"
House For Rent In Malabe,"Beds-4, Baths-4 Size-3500sqft",,,"92,500"
House For Sale In Kaduwela,"Beds-3, Baths-3 Size-2200sqft",,"39,500,000","561,228"
Land For Sale In Malabe,12.5 Perches,,"15,000,000","213,124"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-2900sqft",,"37,000,000","525,707"
House For Sale In Battaramulla,"Beds-3, Baths-3 Size-1900sqft",,"47,500,000","674,894"
House For Rent In Kadawatha,"Beds-3, Baths-2 Size-2000sqft",,,"115,000"
Land For Sale In Mount Lavinia,19.9 Perches,,,
Home For Sale In Gampha,"Beds-3, Baths-2 Size-1700sqft",,"88,000,000","1,250,330"
House For Sale In Kandy,"Beds-10, Baths-4 Size-10sqft",,"12,000,000","170,500"
Land For Sale In Bopagama,15 Perches,,"1,500,000","21,312"
Land For Sale In Piliyandala,9.7 Perches,,"11,640,000","165,385"
House For Sale In Athurugiriya,"Beds-3, Baths-3 Size-2550sqft",,"35,000,000","497,290"
House For Sale In Talawatugoda,"Beds-4, Baths-3 Size-3000sqft",,"50,000,000","710,415"
House For Rent In Colombo 15,"Beds-2, Baths-2 Size-680.625sqft",,,"45,000"
House For Sale In Kandy,"Beds-10, Baths-4 Size-10sqft",,"12,500,000","177,604"
Land For Sale In Kandy,9.75 Perches,,"1,650,000","23,444"
House For Sale In Padukka,"Beds-3, Baths-1 Size-sqft",,"6,800,000","96,616"
Land For Sale In Veyangoda,10 Perches,,"2,100,000","29,837"
Land For Sale In Nittambuwa,12 Perches,,"3,540,000","50,297"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Land For Sale In Meegoda,7 Perches,,"3,325,000","47,243"
House For Sale In Mirigama,"Beds-3, Baths-1 Size-sqft",,"9,900,000","140,662"
Land For Sale In Kadawatha,12 Perches,,"8,200,000","116,508"
House For Sale In Marandagahamula,"Beds-4, Baths-2 Size-sqft",,,
House For Sale In Kundasale,"Beds-3, Baths-2 Size-3200sqft",,"28,000,000","397,832"
House For Sale In Ja-Ela,"Beds-3, Baths-1 Size-sqft",,,
House For Sale In Homagama,"Beds-3, Baths-2 Size-1900sqft",,"9,800,000","139,241"
House For Sale In Homagama,"Beds-3, Baths-2 Size-1900sqft",,"17,500,000","248,645"
Restaurant For Rent In Wattala,10000sqft,,,"310,000"
House For Sale In Homagama,"Beds-3, Baths-1 Size-1800sqft",,"9,800,000","139,241"
Land For Sale In Negombo,10 Perches,,"13,500,000","191,812"
House For Sale In Homagama,"Beds-3, Baths-1 Size-2300sqft",,"12,500,000","177,604"
House For Sale In Kiribathgoda,"Beds-5, Baths-2 Size-4900sqft",,"52,500,000","745,936"
House For Sale In Kadawatha,"Beds-1, Baths-1 Size-sqft",,"13,000,000","184,708"
Land For Sale In Ella,34 Perches,,"8,500,000","120,771"
House For Sale In Handessa,"Beds-2, Baths-1 Size-1500sqft",,"80,000,000","1,136,664"
House For Sale In Walpola,"Beds-3, Baths-1 Size-sqft",,"8,500,000","120,771"
House For Sale In Nittambuwa,"Beds-3, Baths-2 Size-2423sqft",,"29,000,000","412,041"
Land For Sale In Divulapitiya,5 Acres,,"52,500,000","745,936"
House For Sale In Katugastota,"Beds-2, Baths-1 Size-2500sqft",,"19,000,000","269,958"
Apartment For Sale In Moratuwa,"Beds-3, Baths-2 Size-1250sqft",,"25,000,000","355,207"
Land For Sale In Kadawatha,25 Perches,,"11,250,000","159,843"
Apartment For Sale In Rajagiriya,"Beds-2, Baths-2 Size-887sqft",,"35,000,000","497,290"
House For Sale In Katunayake,"Beds-5, Baths-3 Size-sqft",,"27,000,000","383,624"
House For Sale In Beruwala,"Beds-2, Baths-1 Size-sqft",,"17,000,000","241,541"
Land For Sale In Panadura,12 Perches,,"8,100,000","115,087"
House For Sale In Kengalla,"Beds-2, Baths-1 Size-2200sqft",,"16,000,000","227,333"
Land For Sale In Katugastota,12.1 Perches,,"5,500,000","78,146"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1250sqft",,"22,500,000","319,687"
Commercial Building For Sale In Kiribathgoda,4000sqft,,"4,200,000","59,675"
House For Sale In Kottawa,"Beds-4, Baths-2 Size-2250sqft",,,
House For Sale In Kandana,"Beds-6, Baths-2 Size-sqft",,"17,500,000","248,645"
Land For Sale In Padukka,10 Perches,,"1,900,000","26,996"
Annex For Rent In Seeduwa,"Beds-1, Baths-1",,,"9,000"
House For Sale In Veyangoda,"Beds-4, Baths-1 Size-sqft",,"6,000,000","85,250"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-2400sqft",,"48,000,000","681,998"
House For Sale In Kadawatha,"Beds-3, Baths-1 Size-sqft",,"13,500,000","191,812"
House For Sale In Katugastota,"Beds-10, Baths-4 Size-6000sqft",,"125,000,000","1,776,037"
Land For Sale In Delgoda,10 Perches,,"3,000,000","42,625"
House For Sale In Katugastota,"Beds-2, Baths-1 Size-2000sqft",,"11,000,000","156,291"
House For Sale In Kadawatha,"Beds-4, Baths-1 Size-1760sqft",,"14,500,000","206,020"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-2200sqft",,"38,000,000","539,915"
Land For Sale In Puwakpitiya,10 Acres,,"20,000,000","284,166"
House For Rent In Wellampitiya,"Beds-3, Baths-2 Size-1500sqft",,,
Land For Sale In Kurunegala,15 Perches,,"3,675,000","52,215"
Land For Sale In Peradeniya,10 Perches,,"4,200,000","59,675"
House For Sale In Meepe,"Beds-4, Baths-1 Size-sqft",,"6,200,000","88,091"
House For Sale In Divulapitiya,"Beds-2, Baths-1 Size-sqft",,"2,700,000","38,362"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
House For Sale In Panadura,"Beds-6, Baths-4 Size-4200sqft",,"73,000,000","1,037,206"
House For Sale In Minuwangoda,"Beds-3, Baths-1 Size-sqft",,"10,000,000","142,083"
Land For Sale In Mirigama,20 Perches,,"16,000,000","227,333"
House For Sale In Polgahawela,"Beds-3, Baths-1 Size-sqft",,,
House For Sale In Chilaw,"Beds-4, Baths-1 Size-sqft",,"16,000,000","227,333"
House For Sale In Kadawatha,"Beds-4, Baths-1 Size-sqft",,"12,500,000","177,604"
Restaurant For Sale In Danowita,3500sqft,,"115,000,000","1,633,954"
House For Sale In Divulapitiya,"Beds-3, Baths-1 Size-sqft",,"11,500,000","163,395"
Land For Sale In Divulapitiya,2.5 Perches,,"30,000,000",
House For Sale In Makola,"Beds-4, Baths-2 Size-sqft",,"38,500,000","547,019"
Land For Sale In Rajagiriya,15 Perches,,,
Land For Sale In Kottawa,6 Perches,,,
House For Sale In Kengalla,"Beds-2, Baths-2 Size-2000sqft",,"13,500,000","191,812"
House For Sale In Divulapitiya,"Beds-2, Baths-1 Size-sqft",,"6,000,000","85,250"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-sqft",,"18,500,000","262,853"
House For Sale In Divulapitiya,"Beds-5, Baths-2 Size-sqft",,"10,000,000","142,083"
House For Sale In Kiribathgoda,"Beds-2, Baths-2 Size-2500sqft",,"18,000,000","255,749"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1200sqft",,,
Land For Sale In Divulapitiya,1.5 Acres,,,
Land For Sale In Maggona,12.5 Perches,,"1,500,000","21,312"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-1400sqft",,"26,800,000","380,782"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-3800sqft",,"58,000,000","824,081"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
House For Sale In Malabe,"Beds-4, Baths-3 Size-4000sqft",,"63,000,000","895,123"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-1500sqft",,"9,200,000","130,716"
House For Sale In Kadawatha,"Beds-3, Baths-1 Size-1500sqft",,"13,500,000","191,812"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-2250sqft",,"28,000,000","397,832"
House For Sale In Divulapitiya,"Beds-7, Baths-1 Size-sqft",,"7,800,000","110,825"
House For Sale In Divulapitiya,"Beds-4, Baths-1 Size-sqft",,"8,500,000","120,771"
House For Sale In Kesbewa,"Beds-5, Baths-2 Size-2200sqft",,"19,500,000","277,062"
Land For Sale In Divulapitiya,80 Perches,,"7,500,000","106,562"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
House For Sale In Mirigama,"Beds-3, Baths-2 Size-2200sqft",,"50,000,000","710,415"
House For Rent In Maharagama,"Beds-2, Baths-2 Size-1000sqft",,,"50,000"
House For Sale In Gampaha,"Beds-3, Baths-2 Size-sqft",,"9,500,000","134,979"
Land For Sale In Aluthgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Wattala,33 Perches,,"1,250,000","655,357"
Bare Land For Sale In Wattala,9 Perches,,"11,250,000","159,843"
Land For Sale In Wattala,24 Perches,,"33,600,000","477,399"
Land For Sale In Nawala,20 Perches,,"12,500,000","3,552,074"
Land For Sale In Wattala,70 Perches,,"154,000,000","2,188,078"
Warehouse For Rent In Wattala,20000sqft,,,
House For Sale In Homagama,"Beds-3, Baths-3 Size-2722sqft",,"29,000,000","412,041"
Land For Sale In Wattala,438 Perches,,,
House For Sale In Homagama,"Beds-3, Baths-3 Size-2722sqft",,"29,000,000","412,041"
House For Sale In Pannipitiya,"Beds-5, Baths-2 Size-sqft",,"39,000,000","554,124"
House For Sale In Pannipitiya,"Beds-5, Baths-2 Size-2722sqft",,"39,000,000","554,124"
House For Sale In Pannipitiya,"Beds-3, Baths-1 Size-3430sqft",,"23,500,000","333,895"
House For Sale In Pannipitiya,"Beds-3, Baths-1 Size-3430sqft",,"23,500,000","333,895"
Room For Rent In Dehiwala,"Beds-1, Baths-1",,,"9,500"
House For Sale In Athurugiriya,"Beds-7, Baths-4 Size-7000sqft",,,
Land For Sale In Nainamadama,103 Perches,,"7,450,000","1,090,274"
Land For Sale In Wattala,45 Perches,,"126,000,000","1,790,245"
House For Sale In Malabe,"Beds-3, Baths-2 Size-2178sqft",,"30,000,000","426,249"
Land For Sale In Ruwanwella,4 Acres,,"25,000,000","355,207"
Land For Sale In Wattala,49 Perches,,,
Commercial Building For Sale In Colombo 10,8200sqft,,"350,000,000","4,972,904"
Land For Sale In Mount Lavinia,50 Perches,,"5,000,000","3,552,074"
House For Sale In Homagama,"Beds-3, Baths-2 Size-1800sqft",,"11,000,000","156,291"
House For Sale In Gampaha,"Beds-4, Baths-1 Size-sqft",,"8,500,000","120,771"
Land For Sale In Godagama,10 Perches,,"3,750,000","53,281"
Land For Sale In Wattala,18 Perches,,"1,600,000","383,624"
Land With House For Sale In Nawala,"Beds-5, Baths-4 Size-3500sqft",,"90,000,000","1,278,747"
House For Sale In Homagama,"Beds-3, Baths-3 Size-1769sqft",,"29,800,000","423,407"
House For Sale In Homagama,"Beds-4, Baths-2 Size-2178sqft",,"28,500,000","404,936"
House For Sale In Homagama,"Beds-4, Baths-2 Size-2178sqft",,"28,500,000","404,936"
Land For Sale In Hanwella,10 Perches,,"3,000,000","42,625"
Land For Sale In Uswetakeiyawa,400 Perches,,,
House For Sale In Wattala,"Beds-3, Baths-2 Size-1800sqft",,"13,500,000","215,143"
Land For Sale In Colombo 14,116 Perches,,,
Land For Sale In Colombo 08,51 Perches,,"5,400,000","4,051,299"
Land For Sale In Colombo 15,64 Perches,,"80,640,000","1,145,757"
Land For Sale In Kadawatha,110 Perches,,"16,500,000","234,437"
Tea Estate Land For Sale In Elpitiya,1.5 Acres,,"7,200,000","102,300"
Land For Sale In Nainamadama,103 Perches,,"76,735,000","1,090,274"
House For Sale In Wattala,"Beds-2, Baths-2 Size-900sqft",,"28,000,000","397,832"
Land For Sale In Meegoda,7 Perches,,"3,325,000","47,243"
Land For Sale In Colombo 06,24 Perches,,"38,400,000","545,599"
Land For Sale In Nugegoda,60 Perches,,"156,000,000","2,216,494"
Land For Sale In Kadawatha,60 Perches,,"2,700,000","2,283,820"
House For Sale In Padukka,"Beds-3, Baths-2 Size-1200sqft",,"6,500,000","92,354"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
House For Sale In Malabe,"Beds-3, Baths-2 Size-1100sqft",,"18,500,000","262,853"
House For Sale In Talawatugoda,"Beds-4, Baths-3 Size-3000sqft",,"54,000,000","767,248"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-7000sqft",,"185,000,000","2,628,535"
House For Sale In Piliyandala,"Beds-3, Baths-3 Size-1500sqft",,,
House For Sale In Nugegoda,"Beds-5, Baths-4 Size-5000sqft",,"90,000,000","1,278,747"
Land For Sale In Pandura,6 Perches,,"4,050,000","57,544"
House For Sale In Kaduwela,"Beds-3, Baths-2 Size-1300sqft",,"21,000,000","298,374"
Land For Sale In Padukka,20 Perches,,"3,900,000","55,412"
Commercial Building For Rent In Colombo 05,350sqft,,,"75,000"
House For Sale In Kotte,"Beds-4, Baths-2 Size-2250sqft",,,
Land For Sale In Katana,15.9 Perches,,"4,500,000","63,937"
Room For Rent In Panadura,"Beds-1, Baths-1",,,"7,000"
Land For Sale In Kottawa,7.9 Perches,,"8,000,000","113,666"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-2 Size-1200sqft",,"15,000,000","213,124"
House For Sale In Gonapola Junction,"Beds-2, Baths-1 Size-1100sqft",,"8,500,000","120,771"
Shop For Sale In Maharagama,1100sqft,,"80,000,000","1,136,664"
Land For Sale In Piliyandala,10 Perches,,"8,000,000","113,666"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-1100sqft",,"15,500,000","220,229"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-1 Size-1100sqft",,"13,500,000","191,812"
House For Sale In Meegoda,"Beds-2, Baths-1 Size-1100sqft",,"8,000,000","113,666"
House For Sale In Gampaha,"Beds-5, Baths-2 Size-3000sqft",,"36,000,000","511,499"
House For Sale In Homagama,"Beds-3, Baths-1 Size-1100sqft",,"6,500,000","92,354"
Land For Sale In Gampaha,8 Perches,,"14,400,000","204,599"
House For Sale In Homagama,"Beds-4, Baths-2 Size-2500sqft",,"27,500,000","390,728"
Land For Sale In Colombo 05,7 Perches,,"98,000,000","1,392,413"
Land For Sale In Colombo 05,12 Perches,,"82,800,000","1,176,447"
House For Sale In Wattala,"Beds-5, Baths-3 Size-4745sqft",,"115,000,000","1,633,954"
Land For Sale In Colombo 14,29 Perches,,"165,300,000","2,348,631"
House For Sale In Wattala,"Beds-4, Baths-2 Size-2000sqft",,"24,000,000","397,186"
Land For Sale In Wattala,60 Perches,,"150,000,000","2,131,244"
Land For Sale In Colombo 02,26 Perches,,"520,000,000","8,605,700"
Land For Sale In Wattala,14 Perches,,"33,600,000","556,061"
Land For Sale In Wattala,25 Perches,,"60,000,000","992,965"
Land For Sale In Wattala,26 Perches,,,
Land For Sale In Colombo 03,50 Perches,,,
Land For Sale In Ekala,7 Acres,,"650,000","63,715"
Land For Sale In Colombo 05,24 Perches,,,
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Land For Sale In Kadawatha,25 Perches,,"11,250,000","159,843"
House For Sale In Kotadeniyawa,"Beds-2, Baths-1 Size-1500sqft",,"3,100,000","44,046"
House For Sale In Giriulla,"Beds-3, Baths-1 Size-1500sqft",,"2,200,000","31,258"
House For Sale In Giriulla,"Beds-2, Baths-1 Size-1000sqft",,"3,000,000","42,625"
House For Sale In Giriulla,"Beds-3, Baths-1 Size-1500sqft",,"3,700,000","52,571"
Land For Sale In Hadapangoda,16.5 Perches,,"2,475,000","35,166"
Land For Sale In Panadura,10 Perches,,"4,500,000","63,937"
House For Sale In Kahathuduwa,114 Perches,,"39,900,000","566,911"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-2 Size-1215sqft",,"15,000,000","213,124"
House For Sale In Mirigama,"Beds-2, Baths-1 Size-1500sqft",,"3,500,000","49,729"
House For Sale In Gampaha,"Beds-2, Baths-1 Size-1500sqft",,"3,200,000","45,467"
House For Sale In Giriulla,"Beds-2, Baths-1 Size-1500sqft",,"2,500,000","35,521"
House For Sale In Katunayake,"Beds-3, Baths-1 Size-1500sqft",,"13,000,000","184,708"
House For Sale In Mihintale,"Beds-2, Baths-1 Size-1000sqft",,"4,500,000","63,937"
House For Sale In Kadawatha,"Beds-8, Baths-6 Size-3500sqft",,,
Commercial Building For Sale In Colombo 10,8200sqft,,"350,000,000","4,972,904"
House For Sale In Colombo 05,"Beds-4, Baths-1 Size-5000sqft",,"16,000,000","227,333"
Land For Sale In Polgasowita,16 Perches,,"12,000,000","170,500"
Annex For Rent In Sri Jayawardenepura Kotte,"Beds-2, Baths-1",,,"50,000"
Land For Sale In Piliyandala,6 Perches,,"7,740,000","109,972"
Land For Sale In Wattala,9 Perches,,"10,125,000","143,859"
Land For Sale In Embilipitiya,8 Acres,,,
Land For Sale In Bandaragama,60 Perches,,"13,500,000","191,812"
Land For Sale In Kaduwela,30 Perches,,"21,000,000","298,374"
House For Rent In Piliyandala,"Beds-1, Baths-1 Size-200sqft",,,"20,000"
House For Sale In Negombo,"Beds-2, Baths-1 Size-1200sqft",,"12,000,000","170,500"
House For Sale In Negombo,"Beds-4, Baths-4 Size-3600sqft",,"42,500,000","603,853"
House For Sale In Hali Ela,"Beds-4, Baths-1 Size-1300sqft",,"9,000,000","127,875"
Half Built House For Sale In Mawanella,"Beds-3, Baths-1 Size-45sqft",,"7,000,000","99,458"
House For Sale In Homagama,"Beds-3, Baths-2 Size-1350sqft",,"14,000,000","198,916"
Land For Sale In Ratmalana,9 Perches,,"15,300,000","217,387"
Land With House For Rent In Horana,60 Perches,,,"18,000"
House For Sale In Talawatugoda,"Beds-4, Baths-3 Size-2680sqft",,"33,000,000","468,874"
House For Sale In Malabe,"Beds-4, Baths-2 Size-3250sqft",,"39,500,000","561,228"
Apartment For Sale In Mount Lavinia,"Beds-2, Baths-2 Size-990sqft",,,
House For Sale In Kadawatha,"Beds-3, Baths-3 Size-2850sqft",,,
House For Sale In Dompe,"Beds-2, Baths-1 Size-1100sqft",,"6,500,000","92,354"
House For Sale In Divulapitiya,"Beds-2, Baths-1 Size-1100sqft",,"12,000,000","170,500"
Land For Sale In Yakkala,10.05 Perches,,"3,517,500","49,978"
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
Annex For Rent In Dehiwala,"Beds-1, Baths-1",,,"35,000"
Building For Rent In Piliyandala,450sqft,,,"21,500"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-2500sqft",,"28,000,000","397,832"
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
House For Sale In Nugegoda,"Beds-8, Baths-6 Size-3800sqft",,,
House For Sale In Piliyandala,"Beds-5, Baths-4 Size-4200sqft",,"55,000,000","781,456"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-3800sqft",,"58,000,000","824,081"
House For Sale In Nugegoda,"Beds-4, Baths-4 Size-4500sqft",,"130,000,000","1,847,078"
House For Sale In Rajagiriya,"Beds-4, Baths-5 Size-4500sqft",,"135,000,000","1,918,120"
House For Sale In Talawatugoda,"Beds-4, Baths-4 Size-3800sqft",,"58,000,000","824,081"
