Title,Land Size,Location,Total Price,Monthly Payment,Image URL
House For Sale In Athurugiriya,"Features :
Beds-3 ,
                                                    Baths-2 ,
                                                        Size-2500 sqft","Location :

Colombo .
                                                Athurugiriya","28,000,000","397,832",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
House For Sale In Ratmalana,"Features :
Beds-12 ,
                                                    Baths-4 ,
                                                        Size-1600 sqft","Location :

Colombo .
                                                Ratmalana","100,000,000","1,420,830",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Shop For Sale In Jaffna,"Area :
825 sqft","Location :

Jaffna .
                                            Jaffna
                                                                                            
                                                     |  Commercial Buildings",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/425e6d0bd176d3515bb1f179c72631db-305881.jpeg
House For Sale In Gampaha,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size-1500 sqft","Location :

Gampaha .
                                            Gampaha
                                                                                            
                                                     |  House",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/11399c111a3632d8f15c6ffbe8e2acc0-837739.jpeg
Shop For Sale In Gonapola Junction,"Area :
12 sqft","Location :

Kalutara .
                                            Gonapola Junction
                                                                                            
                                                     |  Commercial Buildings","11,500,000","163,395",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8d38086b3c0e6e78046227675e3b89d21312316_4.jpeg
House For Sale In Matara,"Features :
Beds-5 ,
                                                Baths-2 ,
                                                    Size-2900 sqft","Location :

Matara .
                                            Matara
                                                                                            
                                                     |  House","13,800,000","196,074",https://www.patpat.lk/resources/images/ad-types/icon-new-boost.svg
Room For Rent In Kadawatha,"Features :
Beds-5 ,
                                                Baths-2","Location :

Gampaha .
                                            Kadawatha
                                                                                            
                                                     |  Annexes And Rooms",,"6,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8f157816404fd939ef8a1018ab7be45c-898997.jpeg
Annex For Rent In Padukka,"Features :
Beds-2 ,
                                                Baths-1","Location :

Colombo .
                                            Padukka
                                                                                            
                                                     |  Annexes And Rooms",,"25,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2f55c9dac4b05137f993762f94f4c2ed-752592.jpeg
Room For Rent In Dalugama,"Features :
Beds-1 ,
                                                Baths-1","Location :

Gampaha .
                                            Dalugama
                                                                                            
                                                     |  Annexes And Rooms",,"15,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d12d98e53b705432b2dd9b22419f4665-251631.jpeg
Land For Sale In Panadura,"Land Size :
11
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,180,000","59,391",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/5595457f83c4836eb06dbef9c0aae576-280184.jpeg
House For Rent In Kelaniya,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-540 sqft","Location :

Gampaha .
                                            Kelaniya
                                                                                            
                                                     |  House",,"23,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/28b72eb88d8c3bdeef97dcb8505cb7b4-344569.jpeg
House For Sale In Bandaragama,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-2450 sqft","Location :

Kalutara .
                                            Bandaragama
                                                                                            
                                                     |  House","19,500,000","277,062",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/cac64de3f5f1356646ef71068fec7550-271835.jpeg
Room For Rent In Kotte,"Features :
Beds-1 ,
                                                Baths-1","Location :

Colombo .
                                            Kotte
                                                                                            
                                                     |  Annexes And Rooms",,"25,500",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e67ebd02c2d6272c76df2aff191023a3-608168.jpeg
Land For Sale In Hettimulla,"Land Size :
20
                                                Perches","Location :

Kegalle .
                                            Hettimulla
                                                                                            
                                                     |  Land","5,100,000","72,462",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c7595e19bd746d416369186916431c0c-801884.jpeg
Land For Sale In Nittambuwa,"Land Size :
14.7
                                                Perches","Location :

Gampaha .
                                            Nittambuwa
                                                                                            
                                                     |  Land","2,400,000","34,100",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/6c803d80bf7cbbac6cfd4512115fd7be-119863.jpeg
Luxury Apartment For Sale In Athurugiriya,"Features :
Beds-3 ,
                                                Baths-3 ,
                                                    Size-1200 sqft","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Apartments",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/1a4afbc494b9531961fb4da0d4302d941172861_2.jpeg
Land For Sale In Wellawa,"Land Size :
26
                                                Perches","Location :

Kurunegala .
                                            Wellawa
                                                                                            
                                                     |  Land","36,000,000","511,499",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/428a5b79e1fe698ad89f366fe480a14a1172917_4.jpeg
House For Sale In Kurunegala,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-1600 sqft","Location :

Kurunegala .
                                            Kurunegala
                                                                                            
                                                     |  House","10,000,000","142,083",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4b7679bde0822c083d07f9dfdde513b1-718532.jpeg
Land For Sale In Buthpitiya,"Land Size :
44
                                                Perches","Location :

Gampaha .
                                            Buthpitiya
                                                                                            
                                                     |  Land","22,000,000","312,583",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9fa10653f79f8437ad1aadc35f6a05571266355_2.jpeg
House For Sale In Negombo,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-8000 sqft","Location :

Gampaha .
                                            Negombo
                                                                                            
                                                     |  House",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/729355f124ed87795295a0cd592483191266798_1.jpeg
Land For Sale In Sooriyawewa Town,"Land Size :
40
                                                Perches","Location :

Hambantota .
                                            Sooriyawewa Town
                                                                                            
                                                     |  Land",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/6e6bcd5985b1d00173982dd8ea7158e81254811_3.jpeg
House For Sale In Kurunegala,"Features :
Beds-4 ,
                                                Baths-1 ,
                                                    Size-1800 sqft","Location :

Kurunegala .
                                            Kurunegala
                                                                                            
                                                     |  House","6,800,000","96,616",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/03f8ee7227fb40500d642039ea248201-570954.jpeg
House For Sale In Athurugiriya,"Features :
Beds-3 ,
                                                    Baths-2 ,
                                                        Size-2500 sqft","Location :

Colombo .
                                                Athurugiriya","28,000,000","397,832",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
House For Sale In Torayaya,"Features :
Beds-3 ,
                                                    Baths-1 ,
                                                        Size-1925 sqft","Location :

Kurunegala .
                                                Torayaya","4,800,000","68,200",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
