Title,Land Size,Location,Total Price,Monthly Payment,Image URL
House For Sale In Piliyandala,"Features :
Beds-5 ,
                                                Baths-2 ,
                                                    Size- sqft","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  House","38,000,000","539,915",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ac787da7c56a360d5a7b9dcbea3ace66-295540.jpeg
House For Sale In Piliyandala,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-2488 sqft","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  House","18,000,000","255,749",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0bf4ffe55e5c80c30f452a2bb89e69a0-580354.jpeg
House For Sale In Pannipitiya,"Features :
Beds-4 ,
                                                Baths-3 ,
                                                    Size-2500 sqft","Location :

Colombo .
                                            Pannipitiya
                                                                                            
                                                     |  House","32,000,000","454,665",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a1ce4acb5b79d106494d8692e80f5b47-423878.jpeg
House For Sale In Pannipitiya,"Features :
Beds-5 ,
                                                Baths-5 ,
                                                    Size-3267 sqft","Location :

Colombo .
                                            Pannipitiya
                                                                                            
                                                     |  House","46,000,000","653,582",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c9b1c1d78ab896b804811f8c81dc909d-627875.jpeg
Land For Sale In Bandaragama,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Bandaragama
                                                                                            
                                                     |  Land","4,000,000","56,833",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/05b2ad8ba011573bf9711b5c019749b4-149500.jpeg
Land For Sale In Gampaha,"Land Size :
10.5
                                                Perches","Location :

Gampaha .
                                            Gampaha
                                                                                            
                                                     |  Land","6,825,000","96,972",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ebea50394b99db6b50816d32acbe4d02-949313.jpeg
Land For Sale In Athurugiriya,"Land Size :
6.2
                                                Perches","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Land","4,340,000","61,664",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/04c70c360be571a6cd8575a15ffece85-619340.jpeg
Land For Sale In Homagama,"Land Size :
6.3
                                                Perches","Location :

Colombo .
                                            Homagama
                                                                                            
                                                     |  Land","4,725,000","67,134",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3136ceb916c0a00f73be09bcaaf7e123-828680.jpeg
Land For Sale In Piliyandala,"Land Size :
24
                                                Perches","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  Land","9,360,000","132,990",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2e428fdd4f24280bd5267099a1048aa4-346322.jpeg
House For Sale In Piliyandala,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-2488 sqft","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  House","18,000,000","255,749",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9c7213dee1e7bfc747b2fa1f225e6426-300487.jpeg
Land For Sale In Ja-Ela,"Land Size :
40
                                                Perches","Location :

Gampaha .
                                            Ja-Ela
                                                                                            
                                                     |  Land","34,000,000","483,082",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/47060d1b0d460bc9b5a85de837f4a9161311567_1.jpg
Land For Sale In Nittambuwa,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Nittambuwa
                                                                                            
                                                     |  Land","2,700,000","38,362",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/599d8d5bcf086818422561e73e675a99-815057.jpeg
Land For Sale In Piliyandala,"Land Size :
6
                                                Perches","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  Land","3,450,000","49,019",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f70bd2d62ddb14342dcfa97182220c0f-871512.jpeg
Land For Sale In Alutgama,"Land Size :
12.5
                                                Perches","Location :

Kalutara .
                                            Alutgama
                                                                                            
                                                     |  Land","1,250,000","17,760",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/720f8ab5380fe807e5210d6bc647718a-569032.jpeg
Land For Sale In Dodangoda,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Dodangoda
                                                                                            
                                                     |  Land","5,500,000","78,146",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/5dbe38baaf27b293fd47ba085df4d9a1-776104.jpeg
Land For Sale In Panadura,"Land Size :
6
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,050,000","57,544",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/14594062f995fd07b84df0741b827139-561879.jpeg
Land For Sale In Horana,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Horana
                                                                                            
                                                     |  Land","1,800,000","25,575",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f08897920faf4800e53184464aaddd53-103405.jpeg
Land For Sale In Buttala,"Land Size :
3
                                                Acres","Location :

Monaragala .
                                            Buttala
                                                                                            
                                                     |  Land","3,000,000","42,625",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f73a81f1f4cb52ba1488d497fe92fd16-541971.jpeg
Land For Sale In Kamburugamuwa,"Land Size :
20
                                                    Perches","Location :

Matara .
                                                Kamburugamuwa",,,https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land For Sale In Athurugiriya,"Land Size :
6
                                                    Perches","Location :

Colombo .
                                                Athurugiriya","7,500,000","106,562",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land For Sale In Padeniya,"Land Size :
200
                                                Perches","Location :

Kurunegala .
                                            Padeniya
                                                                                            
                                                     |  Land","4,500,000","63,937",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9253297cf1cdaccd23906eeb6740b1e4-855191.jpeg
Land For Sale In Rambukkana,"Land Size :
25.8
                                                Perches","Location :

Kegalle .
                                            Rambukkana
                                                                                            
                                                     |  Land","3,741,000","53,153",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3df85af93007084c27c44b73080c7a3f-932747.jpeg
Land For Sale In Kadawatha,"Land Size :
13.2
                                                Perches","Location :

Gampaha .
                                            Kadawatha
                                                                                            
                                                     |  Land","5,280,000","75,020",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f78430871608347d31c510ca1f61767e-256128.jpeg
House For Sale In Kadawatha,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-1000 sqft","Location :

Gampaha .
                                            Kadawatha
                                                                                            
                                                     |  House","6,000,000","85,250",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f70b9c8feaca5a2ba13f9310bc563c881311507_3.jpeg
Land For Sale In Mattegoda,"Land Size :
7.5
                                                Perches","Location :

Colombo .
                                            Mattegoda
                                                                                            
                                                     |  Land","5,250,000","74,594",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b45bf530df0beb222af2e3312b415d4d-523584.jpeg
Land For Sale In Wattala,"Land Size :
680
                                                Perches","Location :

Gampaha .
                                            Wattala
                                                                                            
                                                     |  Land","204,000,000","2,898,492",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/7aee387046fb758fe20707447528a7a8-476050.jpeg
Land For Sale In Bope,"Land Size :
13.7
                                                Perches","Location :

Colombo .
                                            Bope
                                                                                            
                                                     |  Land","3,014,000","42,824",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e51b2e569d3f63026e2c9ec64289e537-451105.jpeg
Land For Sale In Minuwangoda,"Land Size :
12.8
                                                Perches","Location :

Gampaha .
                                            Minuwangoda
                                                                                            
                                                     |  Land","8,832,000","125,488",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/83c56cc21dd81c52158f2ddf330b9e9e-228436.jpeg
Land For Sale In Dambulla,"Land Size :
48
                                                Perches","Location :

Matale .
                                            Dambulla
                                                                                            
                                                     |  Land","60,000,000","852,498",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c973dcfa08ce06556fda7910527249c7-242286.jpeg
House For Sale In Kalugamuwa,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-900 sqft","Location :

Kurunegala .
                                            Kalugamuwa
                                                                                            
                                                     |  House","4,500,000","63,937",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/1faf664f54327afee00c7f7078b6f39a-340116.jpeg
Annex For Rent In Peradeniya,"Features :
Beds-1 ,
                                                Baths-1","Location :

Kandy .
                                            Peradeniya
                                                                                            
                                                     |  Annexes And Rooms",,"18,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2a321a66576786bace4ff6b1470b3566-740348.jpeg
House For Sale In Mount Lavinia,"Features :
Beds-4 ,
                                                Baths-4 ,
                                                    Size-2178 sqft","Location :

Colombo .
                                            Mount Lavinia
                                                                                            
                                                     |  House","39,000,000","554,124",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b66c6790ad045859a1520f3bd837705a1311469_1.jpg
Land For Sale In Agalawatta,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Agalawatta
                                                                                            
                                                     |  Land","3,000,000","42,625",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/95fa50d0fd601aba802863bb16858bbf-705680.jpeg
House For Rent In Talawatugoda,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size-2500 sqft","Location :

Colombo .
                                            Talawatugoda
                                                                                            
                                                     |  House",,"155,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/da1cee468180023dd4e01eb3d87aa896-813115.jpeg
Land For Sale In Waga,"Land Size :
26
                                                Perches","Location :

Colombo .
                                            Waga
                                                                                            
                                                     |  Land","2,800,000","39,783",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/5704e9e3ab4f329be43f4137106059c8-516042.jpeg
House For Sale In Kegalle,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size-1400 sqft","Location :

Kegalle .
                                            Kegalle
                                                                                            
                                                     |  House","28,500,000","404,936",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f51553c332e69228ec3bc4716c47fc20-550623.jpeg
Land For Sale In Embilipitiya,"Land Size :
40
                                                Perches","Location :

Ratnapura .
                                            Embilipitiya
                                                                                            
                                                     |  Land","5,600,000","79,566",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d72a6176fc687c8d15fd8d1bd02ea19f-545005.jpeg
House For Sale In Polgahawela,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-940 sqft","Location :

Kurunegala .
                                            Polgahawela
                                                                                            
                                                     |  House","5,000,000","71,041",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/23d389f4bd8615aeee9f64d631f16883-538407.jpeg
Land For Sale In Marandagahamula,"Land Size :
25
                                                Perches","Location :

Gampaha .
                                            Marandagahamula
                                                                                            
                                                     |  Land","13,750,000","195,364",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9d7d215a93ea5d3846230cd0f3e73583-218257.jpeg
House For Sale In Kataragama,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-2800 sqft","Location :

Monaragala .
                                            Kataragama
                                                                                            
                                                     |  House","6,500,000","92,354",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f6ca9e4be6e1bf57cd3da329f0c7cdbc-954758.jpeg
House For Rent In Wellampitiya,"Features :
Beds-3 ,
                                                    Baths-2 ,
                                                        Size-1500 sqft","Location :

Colombo .
                                                Wellampitiya",,,https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Shop For Sale In Maharagama,"Area :
1100 sqft","Location :

Colombo .
                                                Maharagama","80,000,000","1,136,664",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land For Sale In Kahathuduwa,"Land Size :
6
                                                Perches","Location :

Colombo .
                                            Kahathuduwa
                                                                                            
                                                     |  Land","3,450,000","49,019",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8c3f66c0aa8f0d6f8760d4e9d0e6de9f-854248.jpeg
Land For Sale In Millaniya,"Land Size :
12.5
                                                Perches","Location :

Kalutara .
                                            Millaniya
                                                                                            
                                                     |  Land","1,875,000","26,641",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b61c89378b1faa00bfb30db9f8971988-825627.jpeg
Land For Sale In Homagama,"Land Size :
6.3
                                                Perches","Location :

Colombo .
                                            Homagama
                                                                                            
                                                     |  Land","4,725,000","67,134",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e2d5745cf73f54ef4ddee4a1b1ee383b-812245.jpeg
Land For Sale In Mattegoda,"Land Size :
6.3
                                                Perches","Location :

Colombo .
                                            Mattegoda
                                                                                            
                                                     |  Land","4,725,000","67,134",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f56ac2e616a782b5a7279fc583aef2ae-231717.jpeg
Land For Sale In Panadura,"Land Size :
6
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,050,000","57,544",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3b916036ff8106ce4a98c6dbba798d28-658979.jpeg
Land For Sale In Kottawa,"Land Size :
6.3
                                                Perches","Location :

Colombo .
                                            Kottawa
                                                                                            
                                                     |  Land","4,725,000","67,134",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/95219f69023a9f4e770ae69c1ef509a1-592788.jpeg
Land For Sale In Panadura,"Land Size :
6.2
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,185,000","59,462",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/716ff2c9972ebdc552d4dfeed3e19c8b-810110.jpeg
Land For Sale In Yatadolawatta,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Yatadolawatta
                                                                                            
                                                     |  Land","5,500,000","78,146",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/26c94958dccc2196b0a45c828d9326c1-878796.jpeg
Land For Sale In Dodangoda,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Dodangoda
                                                                                            
                                                     |  Land","5,500,000","78,146",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/dfd819f56af7dc1b7d8f2753e29b9fc8-278861.jpeg
Land For Sale In Matugama,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Matugama
                                                                                            
                                                     |  Land","5,500,000","78,146",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c12eaf10a13327f525a9607373e87192-670548.jpeg
Land For Sale In Athurugiriya,"Land Size :
6.2
                                                Perches","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Land","4,340,000","61,664",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/64ccbe877cd584a89550eb450b66dc70-370511.jpeg
Land For Sale In Aniwatta,"Land Size :
12
                                                Perches","Location :

Kandy .
                                            Aniwatta
                                                                                            
                                                     |  Land","7,200,000","102,300",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b21117ec93fb2e8b06e0ec97514f7bb0-236077.jpeg
Land With Half Built House For Sale In Hakmana,"Land Size :
10
                                                Perches","Location :

Matara .
                                            Hakmana
                                                                                            
                                                     |  Land","30,000,000","426,249",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e90259c0c1e1f79cad2421c6a9194625-612380.jpeg
Land For Sale In Kirindiwela,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Kirindiwela
                                                                                            
                                                     |  Land","2,700,000","38,362",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ba1af1ec372182a6e995b48ad4fae34a-459582.jpeg
Land For Sale In Urapola,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Urapola
                                                                                            
                                                     |  Land","2,700,000","38,362",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/66235ffedfd4c931e65a1f61721cc0a0-734804.jpeg
Land For Sale In Homagama,"Land Size :
7.9
                                                Perches","Location :

Colombo .
                                            Homagama
                                                                                            
                                                     |  Land","5,135,000","72,960",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d6e10176f2f7116f7a0d99dee4fe315d-385464.jpeg
Land For Sale In Maggona,"Land Size :
12.5
                                                Perches","Location :

Kalutara .
                                            Maggona
                                                                                            
                                                     |  Land","1,500,000","21,312",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e23d5b9a705133a80aa0574a17a06a18-202520.jpeg
Land For Sale In Dodangoda,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Dodangoda
                                                                                            
                                                     |  Land","5,500,000","78,146",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4cb5361cb99f436e6a52ab11587e4aef-637227.jpeg
House For Sale In Pita Kotte,"Features :
Beds-5 ,
                                                Baths-4 ,
                                                    Size-2550 sqft","Location :

Colombo .
                                            Pita Kotte
                                                                                            
                                                     |  House","80,000,000","1,136,664",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b76ee168c69d4ff912d748a234774dbe-231317.jpeg
House For Sale In Bandarawela,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size-3000 sqft","Location :

Badulla .
                                            Bandarawela
                                                                                            
                                                     |  House","13,000,000","184,708",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/418506196879de976ede1beae4e2ffba-451191.jpeg
House With Pool For Sale In Malabe,"Features :
Beds-5 ,
                                                    Baths-6 ,
                                                        Size-4714 sqft","Location :

Colombo .
                                                Malabe","32,000,000","454,665",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
House For Sale In Athurugiriya,"Features :
Beds-3 ,
                                                    Baths-2 ,
                                                        Size-2500 sqft","Location :

Colombo .
                                                Athurugiriya","28,000,000","397,832",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
House For Sale In Negombo,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-1550 sqft","Location :

Gampaha .
                                            Negombo
                                                                                            
                                                     |  House","29,500,000","419,145",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fac3731b303fd58ccad1e1fb1cd9d6b9-267834.jpeg
House For Sale In Negombo,"Features :
Beds-3 ,
                                                Baths-3 ,
                                                    Size-2375 sqft","Location :

Gampaha .
                                            Negombo
                                                                                            
                                                     |  House","52,000,000","738,831",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/965e5b5d01fc6b8b424a8ebe8300614a-906852.jpeg
House For Sale In Negombo,"Features :
Beds-5 ,
                                                Baths-3 ,
                                                    Size-4550 sqft","Location :

Gampaha .
                                            Negombo
                                                                                            
                                                     |  House","69,500,000","987,477",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/012e9d8b26ddc0f9187341bf839e65d9-425641.jpeg
House For Sale In Negombo,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-1550 sqft","Location :

Gampaha .
                                            Negombo
                                                                                            
                                                     |  House","29,500,000","419,145",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a35ab9fe59795bf1f2b9fc7141c3fa56-524212.jpeg
House For Sale In Negombo,"Features :
Beds-5 ,
                                                Baths-3 ,
                                                    Size-2850 sqft","Location :

Gampaha .
                                            Negombo
                                                                                            
                                                     |  House","35,000,000","497,290",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8e8400b420c7050efa70e3d5144701ed-685109.jpeg
House For Sale In Negombo,"Features :
Beds-5 ,
                                                Baths-2 ,
                                                    Size-2100 sqft","Location :

Gampaha .
                                            Negombo
                                                                                            
                                                     |  House","26,000,000","369,416",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/524dac36beff26945af4a6ef1f99d08b-768486.jpeg
House For Sale In Talawatugoda,"Features :
Beds-5 ,
                                                Baths-3 ,
                                                    Size-5000 sqft","Location :

Colombo .
                                            Talawatugoda
                                                                                            
                                                     |  House","60,000,000","852,498",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/39a2d5dad0d07ab93b0938475b83bbd8-960395.jpeg
House For Rent In Kolonnawa,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-3000 sqft","Location :

Colombo .
                                            Kolonnawa
                                                                                            
                                                     |  House",,"30,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9c40d198d3cd185011d5676e5926b820-295614.jpeg
House For Sale In Dehiwala,"Features :
Beds-7 ,
                                                Baths-3 ,
                                                    Size-3000 sqft","Location :

Colombo .
                                            Dehiwala
                                                                                            
                                                     |  House","85,000,000","1,207,705",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/32934a7834b870348b98f64b8a27646b-194593.jpeg
Land For Sale In Hambantota,"Land Size :
10
                                                Acres","Location :

Hambantota .
                                            Hambantota
                                                                                            
                                                     |  Land","11,000,000","156,291",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/17706d8d650f3deff253a058f28658dc-659443.jpeg
House For Sale In Ragama,"Features :
Beds-4 ,
                                                Baths-3 ,
                                                    Size- sqft","Location :

Gampaha .
                                            Ragama
                                                                                            
                                                     |  House","25,000,000","355,207",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b902a6bb8a50332c661e6109edc6dfc6-552478.jpeg
House For Sale In Kahathuduwa,"Features :
Beds-1 ,
                                                Baths-1 ,
                                                    Size-1500 sqft","Location :

Colombo .
                                            Kahathuduwa
                                                                                            
                                                     |  House","12,000,000","170,500",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e2ad308d10e5037d01729070714d73e1-750970.jpeg
Land For Sale In Kebithigollewa,"Land Size :
17
                                                Perches","Location :

Anuradhapura .
                                            Kebithigollewa
                                                                                            
                                                     |  Land","4,250,000","60,385",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d2a4960b7b55752f69b02be7056e16bf-699104.jpeg
Land For Sale In Kosgama,"Land Size :
11
                                                Perches","Location :

Colombo .
                                            Kosgama
                                                                                            
                                                     |  Land","2,750,000","39,073",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/03a32aee461870da21cbe16567814542-201682.jpeg
Land For Sale In Tangalla,"Land Size :
35
                                                Perches","Location :

Hambantota .
                                            Tangalla
                                                                                            
                                                     |  Land","4,500,000","63,937",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c07db5e9c17cf2ad09fcf1c92b3331fb-913916.jpeg
Land For Sale In Narammala,"Land Size :
12.5
                                                Perches","Location :

Kurunegala .
                                            Narammala
                                                                                            
                                                     |  Land","3,000,000","42,625",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/96bcdb68bda0f501ba83073097869d23-359596.jpeg
House For Sale In Kelaniya,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size- sqft","Location :

Gampaha .
                                            Kelaniya
                                                                                            
                                                     |  House",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/5e8da075c2b3c13941a9b5f620ec11fa-964028.jpeg
Land For Sale In Maharagama,"Land Size :
4.75
                                                Perches","Location :

Colombo .
                                            Maharagama
                                                                                            
                                                     |  Land","10,925,000",,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/1c7af63eb23623a62ca4171585105f13-458218.jpeg
House For Sale In Gothatuwa,"Features :
Beds-4 ,
                                                Baths-3 ,
                                                    Size-10 sqft","Location :

Colombo .
                                            Gothatuwa
                                                                                            
                                                     |  House",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f94a084f3a31f8cb776d30e3cc1054b4-139848.jpeg
House For Sale In Yakkala,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-1800 sqft","Location :

Gampaha .
                                            Yakkala
                                                                                            
                                                     |  House","6,500,000","92,354",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9e6ee1c5c7d886d4a9cbd405011e138d-458258.jpeg
Land For Sale In Gampaha,"Land Size :
9
                                                    Perches","Location :

Gampaha .
                                                Gampaha","20,700,000","294,112",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
House For Sale In Torayaya,"Features :
Beds-3 ,
                                                    Baths-1 ,
                                                        Size-1925 sqft","Location :

Kurunegala .
                                                Torayaya","4,800,000","68,200",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land With House For Sale In Kahathuduwa,"Land Size :
48
                                                Perches","Location :

Colombo .
                                            Kahathuduwa
                                                                                            
                                                     |  Land","21,600,000","306,899",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f17c123afbbe7fa08bc515ace1136299-823243.jpeg
Land For Sale In Panadura,"Land Size :
6.3
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,252,500","60,421",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a10f2f0ed40b0836eba090700d0211ef-628519.jpeg
Land For Sale In Pokunuwita,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Pokunuwita
                                                                                            
                                                     |  Land","3,250,000","46,177",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/038a7a52a1e7524645707f2283f62354-249635.jpeg
Land For Sale In Hanwella,"Land Size :
10
                                                Perches","Location :

Colombo .
                                            Hanwella
                                                                                            
                                                     |  Land","3,000,000","42,625",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d862b820f05dc00123980b9aa510453b-599159.jpeg
Land For Sale In Bandaragama,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Bandaragama
                                                                                            
                                                     |  Land","4,000,000","56,833",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/39f5f6ec13b7284a5e895f0c118d26d4-287736.jpeg
Land For Sale In Kahathuduwa,"Land Size :
23.9
                                                Perches","Location :

Colombo .
                                            Kahathuduwa
                                                                                            
                                                     |  Land","9,321,000","132,436",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2b536178481a8d43e242917601a9cf94-439297.jpeg
House For Sale In Kotugoda,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-2800 sqft","Location :

Gampaha .
                                            Kotugoda
                                                                                            
                                                     |  House","14,000,000","198,916",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0b67420b4e08ba077d2fce4c37b62004-780725.jpeg
House For Sale In Horana,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-1300 sqft","Location :

Kalutara .
                                            Horana
                                                                                            
                                                     |  House","6,800,000","96,616",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/17db37a0fed2db82e43a74f2ca0b0763-435663.jpeg
Apartment For Sale In Colombo 15,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-2000 sqft","Location :

Colombo .
                                            Colombo 15
                                                                                            
                                                     |  Apartments","5,700,000","80,987",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/22cb55b08242f2f94592739c03649dbd-171747.jpeg
Room For Rent In Piliyandala,"Features :
Beds-1 ,
                                                Baths-1","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  Annexes And Rooms",,"6,500",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ac9cfeced7f4bb2223f241088fd63754-883169.jpeg
Land For Sale In Matale,"Land Size :
10
                                                Perches","Location :

Matale .
                                            Matale
                                                                                            
                                                     |  Land","13,000,000","184,708",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/576c9c8ff9e97f41295cda5272d8a818-694053.jpeg
